State,Line Item,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
North Carolina,Labor,0.177995553,0.181382987,0.18483296,0.188346566,0.191924917,0.195569139,0.199180307,0.202853101,0.206588379,0.210387004,0.214249841,0.218058734,0.22192457,0.225847712,0.229828495,0.233867234,0.23796421,0.24211968,0.246333864,0.250606953,0.2547691,0.258975816,0.263226231,0.267519381,0.271854196
North Carolina,By-product management ,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616
North Carolina,Heat Cost,0.967646739,0.976394749,0.985211578,0.994097538,1.003052937,1.012078081,1.02066047,1.029289993,1.037966147,1.046688402,1.055456196,1.063688328,1.071932644,1.080187147,1.088449758,1.09671831,1.104990545,1.113264115,1.121536576,1.129805384,1.137309007,1.144753914,1.152134801,1.159446147,1.166682204
North Carolina,Electricity Cost,0.271607609,0.272706329,0.273806641,0.274908493,0.276011832,0.277116607,0.278083049,0.27904591,0.280005001,0.280960132,0.281911108,0.282703416,0.283484192,0.284252991,0.285009354,0.285752809,0.286482873,0.287199051,0.287900832,0.288587693,0.289066213,0.289518073,0.289942263,0.290337745,0.290703446
North Carolina,Other Related Expenses,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232
North Dakota,Maintenance,0.008454789,0.008710123,0.008973169,0.009244159,0.009523332,0.009810937,0.010157263,0.010515815,0.010887023,0.011271335,0.011669213,0.012140649,0.012631131,0.013141429,0.013672343,0.014224705,0.014799383,0.015397278,0.016019329,0.016666509,0.017424836,0.018217666,0.019046569,0.019913188,0.020819238
North Dakota,Legal/Permitting,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569
North Dakota,Labor,0.177995553,0.181382987,0.18483296,0.188346566,0.191924917,0.195569139,0.199180307,0.202853101,0.206588379,0.210387004,0.214249841,0.218058734,0.22192457,0.225847712,0.229828495,0.233867234,0.23796421,0.24211968,0.246333864,0.250606953,0.2547691,0.258975816,0.263226231,0.267519381,0.271854196
North Dakota,By-product management ,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616
North Dakota,Heat Cost,0.967646739,0.976394749,0.985211578,0.994097538,1.003052937,1.012078081,1.02066047,1.029289993,1.037966147,1.046688402,1.055456196,1.063688328,1.071932644,1.080187147,1.088449758,1.09671831,1.104990545,1.113264115,1.121536576,1.129805384,1.137309007,1.144753914,1.152134801,1.159446147,1.166682204
North Dakota,Electricity Cost,0.226855435,0.227773122,0.228692137,0.229612439,0.230533984,0.231456728,0.232263932,0.233068144,0.233869208,0.234666964,0.235461249,0.236123011,0.236775141,0.237417266,0.238049004,0.238669962,0.239279736,0.23987791,0.24046406,0.241037749,0.241437424,0.241814832,0.24216913,0.242499449,0.242804894
North Dakota,Other Related Expenses,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232
Ohio,Maintenance,0.00997082,0.010271939,0.010582151,0.010901732,0.011230964,0.01157014,0.011978566,0.012401409,0.012839179,0.013292402,0.013761623,0.014317593,0.014896024,0.015497823,0.016123935,0.016775342,0.017453066,0.01815817,0.01889176,0.019654987,0.020549289,0.021484281,0.022461816,0.023483829,0.024552343
Ohio,Legal/Permitting,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569
Ohio,Labor,0.209911997,0.213906832,0.217975421,0.222119054,0.22633904,0.230636709,0.234895397,0.239226761,0.243631813,0.24811157,0.252667054,0.257158921,0.261717942,0.266344543,0.271039122,0.275802048,0.280633655,0.285534243,0.290504075,0.295543372,0.300451835,0.305412858,0.310425417,0.315488373,0.320600465
Ohio,By-product management ,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616,0.020169616
Ohio,Heat Cost,0.967646739,0.976394749,0.985211578,0.994097538,1.003052937,1.012078081,1.02066047,1.029289993,1.037966147,1.046688402,1.055456196,1.063688328,1.071932644,1.080187147,1.088449758,1.09671831,1.104990545,1.113264115,1.121536576,1.129805384,1.137309007,1.144753914,1.152134801,1.159446147,1.166682204
Ohio,Electricity Cost,0.289222826,0.290392805,0.291564477,0.29273779,0.293912687,0.295089113,0.296118234,0.297143541,0.298164834,0.299181911,0.300194562,0.301038256,0.30186967,0.30268833,0.303493747,0.304285419,0.305062832,0.305825457,0.306572752,0.30730416,0.307813715,0.30829488,0.308746582,0.309167713,0.309557131
Ohio,Other Related Expenses,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232,0.040339232
Oklahoma,Maintenance,0.008454789,0.008710123,0.008973169,0.009244159,0.009523332,0.009810937,0.010157263,0.010515815,0.010887023,0.011271335,0.011669213,0.012140649,0.012631131,0.013141429,0.013672343,0.014224705,0.014799383,0.015397278,0.016019329,0.016666509,0.017424836,0.018217666,0.019046569,0.019913188,0.020819238
Oklahoma,Legal/Permitting,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569,0.001613569
