State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
New Hampshire," $(1,314,457.25)"," $(225,396.37)"," $(228,407.22)"," $(235,343.78)"," $(242,409.25)"," $(249,605.14)"," $(256,932.99)"," $(267,422.24)"," $(278,085.37)"," $(288,923.39)"," $(299,937.23)"," $(293,247.83)"," $(306,091.92)"," $(320,762.99)"," $(335,634.37)"," $(350,704.63)"," $(365,972.18)"," $(381,435.23)"," $(397,091.78)"," $(412,939.62)"," $(428,976.33)"," $(448,331.86)"," $(467,858.80)"," $(487,548.94)"," $(507,393.51)"," $(527,383.17)"
New Jersey," $(1,314,457.25)"," $(411,811.15)"," $(416,687.72)"," $(423,334.39)"," $(430,091.48)"," $(436,960.34)"," $(443,942.31)"," $(452,780.72)"," $(461,755.11)"," $(470,866.35)"," $(480,115.28)"," $(471,272.70)"," $(480,917.68)"," $(492,368.43)"," $(503,966.83)"," $(515,711.95)"," $(527,602.71)"," $(539,637.89)"," $(551,816.15)"," $(564,135.96)"," $(576,595.69)"," $(590,954.61)"," $(605,432.46)"," $(620,023.39)"," $(634,721.13)"," $(649,518.99)"
New Mexico," $(1,314,457.25)"," $1,481,599.84 "," $1,491,862.34 "," $1,480,232.71 "," $1,468,252.84 "," $1,455,918.41 "," $1,443,225.08 "," $1,416,155.62 "," $1,388,518.53 "," $1,360,310.37 "," $1,331,527.89 "," $1,320,572.97 "," $1,277,873.47 "," $1,232,766.32 "," $1,186,927.97 "," $1,140,362.32 "," $1,093,073.87 "," $1,045,067.83 "," $996,350.09 "," $946,927.27 "," $896,806.73 "," $831,124.65 "," $764,723.92 "," $697,630.96 "," $629,874.11 "," $561,483.68 "
New York," $(1,314,457.25)"," $(245,781.03)"," $(249,630.88)"," $(257,332.81)"," $(265,179.45)"," $(273,172.64)"," $(281,314.22)"," $(292,598.18)"," $(304,072.24)"," $(315,737.69)"," $(327,595.80)"," $(321,417.76)"," $(335,071.06)"," $(350,600.07)"," $(366,346.55)"," $(382,309.41)"," $(398,487.34)"," $(414,878.85)"," $(431,482.26)"," $(448,295.66)"," $(465,316.95)"," $(485,634.54)"," $(506,142.20)"," $(526,831.99)"," $(547,695.42)"," $(568,723.42)"
North Carolina," $(1,314,457.25)"," $(278,353.74)"," $(282,420.03)"," $(289,158.38)"," $(296,016.79)"," $(302,996.67)"," $(310,099.47)"," $(319,692.95)"," $(329,441.92)"," $(339,347.29)"," $(349,409.97)"," $(340,234.09)"," $(351,271.25)"," $(364,247.76)"," $(377,399.28)"," $(390,724.66)"," $(404,222.59)"," $(417,891.59)"," $(431,730.02)"," $(445,736.06)"," $(459,907.70)"," $(476,674.80)"," $(493,589.28)"," $(510,644.20)"," $(527,832.12)"," $(545,145.13)"
North Dakota," $(1,314,457.25)"," $1,022,566.90 "," $1,029,006.24 "," $1,018,799.98 "," $1,008,306.34 "," $997,521.76 "," $986,442.71 "," $964,209.51 "," $941,520.59 "," $918,373.20 "," $894,764.70 "," $889,561.37 "," $855,561.07 "," $819,262.03 "," $782,382.23 "," $744,924.77 "," $706,893.27 "," $668,291.88 "," $629,125.31 "," $589,398.85 "," $549,118.37 "," $496,786.43 "," $443,889.23 "," $390,447.83 "," $336,484.79 "," $282,024.28 "
Ohio," $(1,314,457.25)"," $(141,291.51)"," $(144,386.62)"," $(152,233.54)"," $(160,234.81)"," $(168,392.34)"," $(176,708.04)"," $(188,831.51)"," $(201,164.90)"," $(213,709.54)"," $(226,466.69)"," $(219,311.65)"," $(234,408.33)"," $(251,580.85)"," $(268,998.39)"," $(286,659.56)"," $(304,562.73)"," $(322,706.07)"," $(341,087.51)"," $(359,704.74)"," $(378,555.19)"," $(401,429.12)"," $(424,520.59)"," $(447,820.39)"," $(471,318.68)"," $(495,004.94)"
Oklahoma," $(1,314,457.25)"," $(201,392.19)"," $(204,800.85)"," $(211,250.54)"," $(217,820.05)"," $(224,510.82)"," $(231,324.30)"," $(240,822.57)"," $(250,479.39)"," $(260,295.74)"," $(270,272.53)"," $(262,034.81)"," $(273,287.32)"," $(286,392.76)"," $(299,679.62)"," $(313,146.76)"," $(326,792.89)"," $(340,616.54)"," $(354,616.06)"," $(368,789.65)"," $(383,135.28)"," $(400,298.04)"," $(417,617.36)"," $(435,086.18)"," $(452,696.97)"," $(470,441.70)"
Oregon," $(1,314,457.25)"," $50,136.12 "," $48,389.73 "," $40,371.85 "," $32,181.31 "," $23,815.92 "," $15,273.47 "," $2,069.46 "," $(11,376.57)"," $(25,066.26)"," $(39,001.20)"," $(35,273.78)"," $(52,678.59)"," $(72,002.07)"," $(91,614.98)"," $(111,515.99)"," $(131,703.51)"," $(152,175.69)"," $(172,930.46)"," $(193,965.42)"," $(215,277.94)"," $(241,558.22)"," $(268,106.04)"," $(294,911.29)"," $(321,963.13)"," $(349,249.96)"
Pennsylvania," $(1,314,457.25)"," $(66,914.60)"," $(68,898.63)"," $(75,576.85)"," $(82,389.95)"," $(89,339.54)"," $(96,427.25)"," $(107,157.14)"," $(118,075.04)"," $(129,182.06)"," $(140,479.29)"," $(134,755.69)"," $(148,465.38)"," $(163,963.17)"," $(179,683.11)"," $(195,623.82)"," $(211,783.70)"," $(228,160.96)"," $(244,753.57)"," $(261,559.30)"," $(278,575.68)"," $(299,452.70)"," $(320,527.98)"," $(341,792.89)"," $(363,238.21)"," $(384,854.12)"
