State ,NPV (After-Tax),IRR,TCO,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
South Dakota,"$11,839,291.21 ",108%,"$27,580,128.38 ","$2,389,127.50 ","$2,407,078.05 ","$2,387,764.03 ","$2,367,893.81 ","$2,347,460.45 ","$2,326,457.01 ","$2,282,731.05 ","$2,238,111.29 ","$2,192,592.26 ","$2,146,168.72 ","$2,098,835.66 ","$2,027,795.95 ","$1,955,604.82 ","$1,882,267.37 ","$1,807,789.64 ","$1,732,178.69 ","$1,655,442.63 ","$1,577,590.65 ","$1,498,633.08 ","$1,418,581.43 ","$1,313,989.37 ","$1,208,275.85 ","$1,101,482.34 ","$993,653.34 "," $884,836.44 "
Tennessee,"($1,942,159.34)",Negative,"$26,670,051.03 ","$270,487.82 ","$271,682.18 ","$259,242.45 ","$246,545.48 ","$233,588.15 ","$220,367.33 ","$199,095.05 ","$177,452.83 ","$155,438.51 ","$133,050.00 ","$110,285.33 ","$79,159.23 ","$47,586.19 ","$15,568.66 ","($16,890.52)","($49,788.08)","($83,120.37)","($116,883.26)","($151,072.19)","($185,682.12)","($228,835.67)","($272,390.98)","($316,330.58)","($360,635.80)"," $(405,286.72)"
Texas,"$1,573,308.85 ",27%,"$27,013,153.30 ","$840,928.80 ","$846,786.64 ","$832,589.48 ","$818,056.97 ","$803,185.00 ","$787,969.48 ","$760,722.41 ","$732,966.50 ","$704,698.77 ","$675,916.34 ","$646,616.48 ","$604,792.60 ","$562,334.28 ","$519,244.78 ","$475,527.89 ","$431,187.97 ","$386,229.97 ","$340,659.47 ","$294,482.68 ","$247,706.48 ","$188,048.60 ","$127,798.25 ","$66,979.50 ","$5,618.14 "," $(56,258.30)"
Utah,"($3,781,187.84)",Negative,"$26,407,678.72 ","($91,877.26)","($93,652.20)","($104,963.64)","($116,482.47)","($128,211.18)","($140,152.27)","($157,605.72)","($175,340.50)","($193,358.24)","($211,660.53)","($230,248.86)","($254,543.16)","($279,164.84)","($304,111.94)","($329,382.22)","($354,973.14)","($380,881.86)","($407,105.18)","($433,639.61)","($460,481.26)","($493,099.43)","($525,997.83)","($559,163.20)","($592,581.41)"," $(626,237.40)"
Vermont,"($4,175,688.77)",Negative,"$31,059,952.06 ","($73,641.90)","($75,516.37)","($88,975.98)","($102,690.91)","($116,664.38)","($130,899.61)","($151,858.79)","($173,165.20)","($194,821.08)","($216,828.59)","($239,189.83)","($268,516.61)","($298,249.67)","($328,387.01)","($358,926.26)","($389,864.73)","($421,199.34)","($452,926.63)","($485,042.75)","($517,543.41)","($557,110.61)","($597,033.22)","($637,295.74)","($677,881.64)"," $(718,773.24)"
Virginia,"($3,973,094.50)",Negative,"$27,025,262.79 ","($130,527.18)","($132,518.68)","($143,882.73)","($155,452.30)","($167,229.87)","($179,217.90)","($196,604.32)","($214,268.21)","($232,211.15)","($250,434.69)","($268,940.30)","($293,031.44)","($317,444.15)","($342,176.44)","($367,226.07)","($392,590.48)","($418,266.80)","($444,251.86)","($470,542.13)","($497,133.75)","($529,372.58)","($561,884.38)","($594,656.00)","($627,673.39)"," $(660,921.60)"
Washington,"$5,210,742.63 ",57%,"$28,644,324.13 ","$1,439,487.09 ","$1,449,132.06 ","$1,431,608.47 ","$1,413,633.07 ","$1,395,200.09 ","$1,376,303.75 ","$1,340,949.01 ","$1,304,900.03 ","$1,268,152.31 ","$1,230,701.53 ","$1,192,543.51 ","$1,137,232.19 ","$1,081,045.08 ","$1,023,985.74 ","$966,058.42 ","$907,268.15 ","$847,620.72 ","$787,122.72 ","$725,781.60 ","$663,605.67 ","$583,724.57 ","$503,002.05 ","$421,468.99 ","$339,158.54 "," $256,106.14 "
West Virginia,"($3,947,115.27)",Negative,"$27,527,410.09 ","($101,302.08)","($103,391.09)","($115,335.58)","($127,500.93)","($139,889.86)","($152,505.12)","($170,822.02)","($189,436.73)","($208,351.12)","($227,566.95)","($247,085.93)","($272,507.27)","($298,274.76)","($324,386.54)","($350,840.47)","($377,634.09)","($404,764.62)","($432,228.94)","($460,023.59)","($488,144.75)","($522,242.50)","($556,639.15)","($591,321.21)","($626,274.24)"," $(661,482.87)"
Wisconsin,"($4,423,441.00)",Negative,"$28,094,934.54 ","($175,511.14)","($177,700.25)","($189,219.53)","($200,944.06)","($212,876.27)","($225,018.64)","($242,512.00)","($260,281.35)","($278,328.26)","($296,654.24)","($315,260.72)","($339,401.04)","($363,859.93)","($388,635.35)","($413,724.98)","($439,126.22)","($464,836.12)","($490,851.44)","($517,168.59)","($543,783.64)","($575,985.51)","($608,455.04)","($641,178.97)","($674,143.15)"," $(707,332.50)"
Wyoming,"($1,770,197.08)",Negative,"$25,558,551.30 ","$220,021.83 ","$221,212.15 ","$209,722.35 ","$198,000.25 ","$186,043.13 ","$173,848.27 ","$154,190.98 ","$134,198.07 ","$113,867.73 ","$93,198.26 ","$72,188.03 ","$43,431.17 ","$14,269.26 ","($15,295.14)","($45,259.10)","($75,619.31)","($106,372.07)","($137,513.25)","($169,038.31)","($200,942.24)","($240,752.60)","($280,921.65)","($321,432.74)","($362,268.11)"," $(403,408.83)"
