State ,NPV (After-Tax),IRR,TCO,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Minnesota,"($5,430,681.86)",Negative,"$28,788,577.49 ",-351806.3718,-357543.0265,-370857.4902,-384346.3777,-398011.8337,-411856.0208,-429898.9674,-448149.4047,-466608.497,-485277.3641,-504157.0794,-527294.4906,-550646.8409,-574212.1621,-597988.2732,-621972.7713,-646163.0232,-670556.1565,-695149.0498,-719938.3239,-748875.8481,-777956.4448,-807169.1291,-836502.2523,-865943.4774
Mississippi,"($4,229,843.24)",Negative,"$26,948,569.34 ",-119309.0954,-122793.6102,-135717.0254,-148822.1048,-162110.9917,-175585.843,-194430.0527,-213506.7463,-232817.0698,-252362.11,-272142.8914,-297408.5231,-322928.5747,-348700.6456,-374722.0757,-400989.9351,-427501.0134,-454251.8087,-481238.5169,-508457.0198,-541111.0637,-573949.3635,-606958.9454,-640126.0375,-673436.0411
Missouri,"($4,636,778.95)",Negative,"$26,858,400.34 ",-219944.0137,-224626.2886,-237556.2409,-250661.7881,-263945.0604,-277408.2046,-295514.7917,-313837.2533,-332376.7565,-351134.4192,-370111.3075,-393814.4374,-417747.3949,-441908.1109,-466294.2884,-490903.3935,-515732.6456,-540779.0082,-566039.1786,-591509.5783,-621627.0004,-651905.4481,-682333.3744,-712898.5253,-743587.9149
Montana,"($5,284,162.66)",Negative,"$27,317,914.71 ",-383708.7573,-389615.8349,-402166.713,-414873.1673,-427737.0676,-440760.2997,-457421.1541,-474262.2331,-491284.4693,-508488.7551,-525875.9405,-546936.3051,-568178.0208,-589599.1678,-611197.6363,-632971.1195,-654917.1056,-677032.8702,-699315.4679,-721761.724,-747754.0967,-773856.9042,-800060.1591,-826353.2867,-852725.104
Nebraska,"($4,691,657.18)",Negative,"$27,187,941.85 ",-211796.5025,-216471.5677,-229609.7477,-242928.709,-256430.6622,-270117.835,-288579.2666,-307263.7794,-326172.6117,-345306.9519,-364667.9357,-388891.5064,-413353.6806,-438052.397,-462985.3615,-488150.0372,-513543.6354,-539163.1051,-565005.1234,-591066.0848,-621914.7903,-652933.2889,-684109.8245,-715431.9164,-746886.3337
Nevada,"$11,035,055.52 ",102%,"$27,255,343.13 ",2376719.226,2393454.984,2373161.746,2352351.452,2331017.754,2309154.285,2264796.318,2219608.468,2173585.994,2126724.378,2079019.335,2007916.711,1935752.154,1862531.378,1788261.036,1712948.751,1636603.162,1559233.961,1480851.936,1401469.011,1297975.703,1193474.256,1088005.896,981614.7347,874347.884
New Hampshire,"($3,615,736.47)",Negative,"$30,440,139.41 ",-83633.46473,-86287.97134,-100250.9624,-114419.0917,-128794.7617,-143380.3885,-164427.3996,-185745.5999,-207336.2872,-229200.6868,-251339.9481,-280099.4458,-309162.3967,-338525.9563,-368186.9691,-398141.956,-428387.1013,-458918.2404,-489730.8455,-520820.0129,-558507.3333,-596421.6214,-634547.4946,-672868.615,-711367.6552
New Jersey,"($5,570,791.81)",Negative,"$29,590,706.46 ",-306823.7353,-311852.8772,-325321.2654,-338969.7255,-352800.428,-366815.5597,-385541.4331,-404487.6253,-423655.2882,-443045.5226,-462659.375,-487064.5648,-511702.5952,-536571.2358,-561668.0192,-586990.2318,-612534.9042,-638298.8006,-664278.4095,-690469.9324,-721360.1127,-752408.953,-783604.3571,-814933.496,-846382.7809
New Mexico,"$13,367,728.76 ",120%,"$27,513,276.47 ",2904863.816,2925839.406,2903874.951,2881319.981,2858167.218,2834409.364,2784489.604,2733610.376,2681766.142,2628951.621,2575161.802,2494138.608,2411878.911,2328389.115,2243676.703,2157750.284,2070619.636,1982295.756,1892790.905,1802118.659,1683337.857,1563370.899,1442265.052,1320070.922,1196842.578
New York,"($3,945,744.60)",Negative,"$31,153,245.09 ",-63582.71513,-67021.00758,-82159.06057,-97531.19639,-113140.3507,-128989.4815,-151562.9938,-174441.8829,-197627.9761,-221123.0338,-244928.7453,-275629.9241,-306673.7834,-338057.9108,-369779.5779,-401835.7285,-434222.9641,-466937.5315,-499975.3082,-533331.7882,-573574.4709,-614087.4938,-654855.5319,-695862.2737,-737090.3857
North Carolina,"($4,107,832.57)",Negative,"$26,908,204.37 ",-114888.4045,-118343.454,-131268.9622,-144376.5095,-157668.2442,-171146.3285,-190014.1621,-209115.1839,-228450.5449,-248021.3368,-267828.5893,-293142.1014,-318711.0236,-344532.9543,-370605.2315,-396924.9225,-423488.8135,-450293.3985,-477334.8682,-504609.0985,-537341.4373,-570259.1283,-603349.171,-636597.765,-669990.2805
North Dakota,"$8,842,329.90 ",85%,"$26,149,342.90 ",2057686.714,2071672.495,2052607.039,2033073.109,2013064.957,1992576.815,1952042.232,1910763.353,1868735.925,1825955.897,1782419.426,1718043.918,1652721.16,1586456.321,1519255.409,1451125.3,1382073.778,1312109.567,1241242.371,1169482.913,1076274.024,982171.7664,887213.1393,791437.7266,694887.7905
Ohio,"($2,812,246.44)",Negative,"$27,897,475.21 ",144518.1937,142956.3921,128695.9665,114205.9383,99483.51271,84525.87756,62182.05345,39526.82521,16558.4783,-6724.625383,-30324.04375,-61516.61303,-93067.2841,-124973.3839,-157231.9008,-189839.4703,-222792.3617,-256086.4632,-289717.2671,-323679.8548,-365272.2683,-407154.4333,-449310.097,-491721.9581,-534371.6282
Oklahoma,"($3,324,150.55)",Negative,"$26,201,817.36 ",-8545.804207,-11250.99078,-24297.74112,-37536.9658,-50970.95128,-64601.99786,-84177.60434,-104005.6271,-124087.3497,-144423.9917,-165016.7053,-191697.4206,-218660.215,-245902.6273,-273421.9159,-301215.0476,-329278.6862,-357609.1804,-386202.5522,-415054.4838,-449975.3659,-485110.3189,-520445.5525,-555966.4133,-591657.3535
Oregon,"($879,192.71)",Negative,"$28,730,297.99 ",340805.146,340218.0243,324512.3486,308530.6235,292269.3554,275725.0274,250284.4326,224462.1596,198255.8512,171663.2355,144682.1309,108528.8623,71927.69205,34881.26751,-2607.368913,-40534.76369,-78897.03548,-117689.8579,-156908.4422,-196547.5188,-245461.5162,-294758.5838,-344420.2681,-394426.8815,-444757.4563
