State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Maryland," $(1,314,457.25)"," $(745,188.54)"," $(174,060.97)"," $386,851.28 "," $937,323.83 "," $1,477,129.52 "," $2,006,038.38 "," $2,515,845.55 "," $3,006,214.81 "," $3,476,807.86 "," $3,927,284.46 "," $4,375,022.08 "," $4,795,393.67 "," $5,186,372.67 "," $5,547,545.50 "," $5,878,501.12 "," $6,178,831.37 "," $6,448,131.36 "," $6,685,999.87 "," $6,892,039.78 "," $7,065,858.53 "," $7,198,725.37 "," $7,290,257.30 "," $7,340,087.38 "," $7,347,865.77 "," $7,313,260.93 "
Massachusetts," $(1,314,457.25)"," $(1,363,640.67)"," $(1,415,843.43)"," $(1,477,519.32)"," $(1,548,832.60)"," $(1,629,949.61)"," $(1,721,038.77)"," $(1,826,773.36)"," $(1,947,374.72)"," $(2,083,065.58)"," $(2,234,070.02)"," $(2,382,820.89)"," $(2,550,312.25)"," $(2,738,417.23)"," $(2,947,390.00)"," $(3,177,482.98)"," $(3,428,946.63)"," $(3,702,029.23)"," $(3,996,976.57)"," $(4,314,031.75)"," $(4,653,434.86)"," $(5,020,043.89)"," $(5,414,073.81)"," $(5,835,729.11)"," $(6,285,203.03)"," $(6,762,676.88)"
Michigan," $(1,314,457.25)"," $(1,808,828.46)"," $(2,309,840.23)"," $(2,818,265.75)"," $(3,334,192.38)"," $(3,857,708.48)"," $(4,388,903.52)"," $(4,928,983.16)"," $(5,478,038.66)"," $(6,036,161.78)"," $(6,603,444.81)"," $(7,161,604.66)"," $(7,728,540.49)"," $(8,306,006.27)"," $(8,894,084.53)"," $(9,492,856.81)"," $(10,102,403.58)"," $(10,722,804.15)"," $(11,354,136.54)"," $(11,996,477.44)"," $(12,649,902.06)"," $(13,315,496.44)"," $(13,993,301.69)"," $(14,683,354.23)"," $(15,385,685.50)"," $(16,100,321.72)"
Minnesota," $(1,314,457.25)"," $(1,631,692.67)"," $(1,954,107.97)"," $(2,283,783.25)"," $(2,620,817.98)"," $(2,965,312.81)"," $(3,317,369.66)"," $(3,678,973.48)"," $(4,050,240.96)"," $(4,431,289.49)"," $(4,822,237.14)"," $(5,205,935.16)"," $(5,600,096.19)"," $(6,006,410.59)"," $(6,424,997.99)"," $(6,855,976.95)"," $(7,299,464.84)"," $(7,755,577.74)"," $(8,224,430.27)"," $(8,706,135.51)"," $(9,200,804.82)"," $(9,710,394.39)"," $(10,234,987.35)"," $(10,774,661.14)"," $(11,329,487.12)"," $(11,899,530.21)"
Mississippi," $(1,314,457.25)"," $(1,511,782.59)"," $(1,713,345.90)"," $(1,922,488.02)"," $(2,139,319.77)"," $(2,363,953.29)"," $(2,596,502.05)"," $(2,839,799.32)"," $(3,093,984.89)"," $(3,359,199.30)"," $(3,635,583.77)"," $(3,904,612.67)"," $(4,186,155.22)"," $(4,482,060.89)"," $(4,792,480.82)"," $(5,117,564.69)"," $(5,457,460.58)"," $(5,812,314.80)"," $(6,182,271.73)"," $(6,567,473.64)"," $(6,968,060.52)"," $(7,386,902.86)"," $(7,824,113.52)"," $(8,279,798.04)"," $(8,754,054.16)"," $(9,246,971.32)"
Missouri," $(1,314,457.25)"," $(1,550,440.49)"," $(1,791,243.61)"," $(2,039,755.12)"," $(2,296,085.04)"," $(2,560,344.76)"," $(2,832,647.00)"," $(3,115,550.96)"," $(3,409,191.26)"," $(3,713,703.25)"," $(4,029,223.06)"," $(4,337,219.96)"," $(4,657,275.04)"," $(4,991,229.19)"," $(5,339,225.11)"," $(5,701,404.26)"," $(6,077,906.67)"," $(6,468,870.80)"," $(6,874,433.41)"," $(7,294,729.38)"," $(7,729,891.57)"," $(8,182,488.60)"," $(8,652,625.22)"," $(9,140,399.45)"," $(9,645,902.15)"," $(10,169,216.56)"
Montana," $(1,314,457.25)"," $(1,616,104.87)"," $(1,923,063.22)"," $(2,237,495.46)"," $(2,559,500.00)"," $(2,889,176.43)"," $(3,226,625.55)"," $(3,573,932.02)"," $(3,931,210.83)"," $(4,298,577.60)"," $(4,676,148.56)"," $(5,045,737.58)"," $(5,426,095.69)"," $(5,819,004.42)"," $(6,224,580.34)"," $(6,642,938.80)"," $(7,074,193.87)"," $(7,518,458.15)"," $(7,975,842.69)"," $(8,446,456.80)"," $(8,930,407.99)"," $(9,429,741.71)"," $(9,944,535.27)"," $(10,474,859.97)"," $(11,020,780.84)"," $(11,582,356.15)"
Nebraska," $(1,314,457.25)"," $(1,558,225.63)"," $(1,806,671.17)"," $(2,062,556.69)"," $(2,325,989.34)"," $(2,597,077.57)"," $(2,875,931.17)"," $(3,164,996.93)"," $(3,464,405.79)"," $(3,774,289.47)"," $(4,094,780.43)"," $(4,408,163.94)"," $(4,733,161.99)"," $(5,071,537.21)"," $(5,423,428.62)"," $(5,788,974.06)"," $(6,168,310.05)"," $(6,561,571.63)"," $(6,968,892.24)"," $(7,390,403.55)"," $(7,826,235.30)"," $(8,278,844.71)"," $(8,748,334.72)"," $(9,234,801.84)"," $(9,738,335.72)"," $(10,259,018.74)"
Nevada," $(1,314,457.25)"," $31,479.20 "," $1,385,447.23 "," $2,726,632.64 "," $4,054,706.87 "," $5,369,337.31 "," $6,670,187.32 "," $7,943,519.49 "," $9,188,810.73 "," $10,405,534.93 "," $11,593,163.10 "," $12,771,289.41 "," $13,907,318.79 "," $14,998,753.99 "," $16,044,930.91 "," $17,045,189.46 "," $17,998,874.23 "," $18,905,335.12 "," $19,763,927.96 "," $20,574,015.20 "," $21,334,966.66 "," $22,032,039.50 "," $22,664,598.74 "," $23,232,034.95 "," $23,733,766.04 "," $24,169,239.14 "
New Hampshire," $(1,314,457.25)"," $(1,443,320.13)"," $(1,575,377.20)"," $(1,715,601.08)"," $(1,864,118.29)"," $(2,021,056.83)"," $(2,186,546.19)"," $(2,364,353.84)"," $(2,554,647.87)"," $(2,757,597.21)"," $(2,973,371.59)"," $(3,184,261.51)"," $(3,410,391.23)"," $(3,653,575.97)"," $(3,914,003.90)"," $(4,191,861.34)"," $(4,487,332.63)"," $(4,800,599.91)"," $(5,131,842.89)"," $(5,481,238.65)"," $(5,848,961.39)"," $(6,238,880.21)"," $(6,651,142.07)"," $(7,085,884.76)"," $(7,543,236.37)"," $(8,023,314.69)"
