State ,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Michigan," $(629,562.85)"," $(637,361.25)"," $(650,038.02)"," $(662,855.33)"," $(675,814.88)"," $(688,918.40)"," $(704,526.49)"," $(720,281.82)"," $(736,185.17)"," $(752,237.26)"," $(768,438.81)"," $(787,124.16)"," $(805,942.54)"," $(824,892.22)"," $(843,971.33)"," $(863,177.83)"," $(882,509.55)"," $(901,964.12)"," $(921,539.01)"," $(941,231.52)"," $(963,217.44)"," $(985,260.81)"," $(1,007,353.25)"," $(1,029,485.92)"," $(1,051,649.51)"
Minnesota," $(351,806.37)"," $(357,543.03)"," $(370,857.49)"," $(384,346.38)"," $(398,011.83)"," $(411,856.02)"," $(429,898.97)"," $(448,149.40)"," $(466,608.50)"," $(485,277.36)"," $(504,157.08)"," $(527,294.49)"," $(550,646.84)"," $(574,212.16)"," $(597,988.27)"," $(621,972.77)"," $(646,163.02)"," $(670,556.16)"," $(695,149.05)"," $(719,938.32)"," $(748,875.85)"," $(777,956.44)"," $(807,169.13)"," $(836,502.25)"," $(865,943.48)"
Mississippi," $(119,309.10)"," $(122,793.61)"," $(135,717.03)"," $(148,822.10)"," $(162,110.99)"," $(175,585.84)"," $(194,430.05)"," $(213,506.75)"," $(232,817.07)"," $(252,362.11)"," $(272,142.89)"," $(297,408.52)"," $(322,928.57)"," $(348,700.65)"," $(374,722.08)"," $(400,989.94)"," $(427,501.01)"," $(454,251.81)"," $(481,238.52)"," $(508,457.02)"," $(541,111.06)"," $(573,949.36)"," $(606,958.95)"," $(640,126.04)"," $(673,436.04)"
Missouri," $(219,944.01)"," $(224,626.29)"," $(237,556.24)"," $(250,661.79)"," $(263,945.06)"," $(277,408.20)"," $(295,514.79)"," $(313,837.25)"," $(332,376.76)"," $(351,134.42)"," $(370,111.31)"," $(393,814.44)"," $(417,747.39)"," $(441,908.11)"," $(466,294.29)"," $(490,903.39)"," $(515,732.65)"," $(540,779.01)"," $(566,039.18)"," $(591,509.58)"," $(621,627.00)"," $(651,905.45)"," $(682,333.37)"," $(712,898.53)"," $(743,587.91)"
Montana," $(383,708.76)"," $(389,615.83)"," $(402,166.71)"," $(414,873.17)"," $(427,737.07)"," $(440,760.30)"," $(457,421.15)"," $(474,262.23)"," $(491,284.47)"," $(508,488.76)"," $(525,875.94)"," $(546,936.31)"," $(568,178.02)"," $(589,599.17)"," $(611,197.64)"," $(632,971.12)"," $(654,917.11)"," $(677,032.87)"," $(699,315.47)"," $(721,761.72)"," $(747,754.10)"," $(773,856.90)"," $(800,060.16)"," $(826,353.29)"," $(852,725.10)"
Nebraska," $(211,796.50)"," $(216,471.57)"," $(229,609.75)"," $(242,928.71)"," $(256,430.66)"," $(270,117.84)"," $(288,579.27)"," $(307,263.78)"," $(326,172.61)"," $(345,306.95)"," $(364,667.94)"," $(388,891.51)"," $(413,353.68)"," $(438,052.40)"," $(462,985.36)"," $(488,150.04)"," $(513,543.64)"," $(539,163.11)"," $(565,005.12)"," $(591,066.08)"," $(621,914.79)"," $(652,933.29)"," $(684,109.82)"," $(715,431.92)"," $(746,886.33)"
Nevada," $2,376,719.23 "," $2,393,454.98 "," $2,373,161.75 "," $2,352,351.45 "," $2,331,017.75 "," $2,309,154.29 "," $2,264,796.32 "," $2,219,608.47 "," $2,173,585.99 "," $2,126,724.38 "," $2,079,019.34 "," $2,007,916.71 "," $1,935,752.15 "," $1,862,531.38 "," $1,788,261.04 "," $1,712,948.75 "," $1,636,603.16 "," $1,559,233.96 "," $1,480,851.94 "," $1,401,469.01 "," $1,297,975.70 "," $1,193,474.26 "," $1,088,005.90 "," $981,614.73 "," $874,347.88 "
New Hampshire," $(83,633.46)"," $(86,287.97)"," $(100,250.96)"," $(114,419.09)"," $(128,794.76)"," $(143,380.39)"," $(164,427.40)"," $(185,745.60)"," $(207,336.29)"," $(229,200.69)"," $(251,339.95)"," $(280,099.45)"," $(309,162.40)"," $(338,525.96)"," $(368,186.97)"," $(398,141.96)"," $(428,387.10)"," $(458,918.24)"," $(489,730.85)"," $(520,820.01)"," $(558,507.33)"," $(596,421.62)"," $(634,547.49)"," $(672,868.62)"," $(711,367.66)"
New Jersey," $(306,823.74)"," $(311,852.88)"," $(325,321.27)"," $(338,969.73)"," $(352,800.43)"," $(366,815.56)"," $(385,541.43)"," $(404,487.63)"," $(423,655.29)"," $(443,045.52)"," $(462,659.38)"," $(487,064.56)"," $(511,702.60)"," $(536,571.24)"," $(561,668.02)"," $(586,990.23)"," $(612,534.90)"," $(638,298.80)"," $(664,278.41)"," $(690,469.93)"," $(721,360.11)"," $(752,408.95)"," $(783,604.36)"," $(814,933.50)"," $(846,382.78)"
New Mexico," $2,904,863.82 "," $2,925,839.41 "," $2,903,874.95 "," $2,881,319.98 "," $2,858,167.22 "," $2,834,409.36 "," $2,784,489.60 "," $2,733,610.38 "," $2,681,766.14 "," $2,628,951.62 "," $2,575,161.80 "," $2,494,138.61 "," $2,411,878.91 "," $2,328,389.12 "," $2,243,676.70 "," $2,157,750.28 "," $2,070,619.64 "," $1,982,295.76 "," $1,892,790.91 "," $1,802,118.66 "," $1,683,337.86 "," $1,563,370.90 "," $1,442,265.05 "," $1,320,070.92 "," $1,196,842.58 "
New York," $(63,582.72)"," $(67,021.01)"," $(82,159.06)"," $(97,531.20)"," $(113,140.35)"," $(128,989.48)"," $(151,562.99)"," $(174,441.88)"," $(197,627.98)"," $(221,123.03)"," $(244,928.75)"," $(275,629.92)"," $(306,673.78)"," $(338,057.91)"," $(369,779.58)"," $(401,835.73)"," $(434,222.96)"," $(466,937.53)"," $(499,975.31)"," $(533,331.79)"," $(573,574.47)"," $(614,087.49)"," $(654,855.53)"," $(695,862.27)"," $(737,090.39)"
North Carolina," $(114,888.40)"," $(118,343.45)"," $(131,268.96)"," $(144,376.51)"," $(157,668.24)"," $(171,146.33)"," $(190,014.16)"," $(209,115.18)"," $(228,450.54)"," $(248,021.34)"," $(267,828.59)"," $(293,142.10)"," $(318,711.02)"," $(344,532.95)"," $(370,605.23)"," $(396,924.92)"," $(423,488.81)"," $(450,293.40)"," $(477,334.87)"," $(504,609.10)"," $(537,341.44)"," $(570,259.13)"," $(603,349.17)"," $(636,597.77)"," $(669,990.28)"
