,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
North Carolina,2.104488535,2.135027085,2.177910624,2.221789052,2.266688644,2.312636465,2.380783441,2.451602837,2.525231542,2.601815298,2.681509399,2.786352049,2.89710617,3.014226591,3.138213055,3.269615657,3.409041067,3.557159672,3.714713791,3.882527146,4.102114071,4.34096359,4.601441956,4.88629277,5.198711643
North Dakota,2.014984187,2.044272964,2.085385467,2.127454484,2.170505351,2.214564164,2.280016635,2.34804407,2.418778683,2.492361254,2.568941804,2.669721178,2.776200531,2.88881943,3.008060925,3.134456827,3.268593742,3.411120003,3.562753638,3.724291565,3.935735416,4.165784882,4.416730825,4.691230144,4.992378301
Ohio,2.203551858,2.235984803,2.281363739,2.327805023,2.375336929,2.42398859,2.49578524,2.570402464,2.647984696,2.728685698,2.812669299,2.922956992,3.039460489,3.162657248,3.293071788,3.431281378,3.577922545,3.733698539,3.89938792,4.075854461,4.306478487,4.557291945,4.830769109,5.12977798,5.457658021
Oklahoma,2.021173318,2.050548515,2.091783483,2.133977619,2.177156323,2.221345759,2.286984552,2.355205049,2.426139785,2.499929885,2.576725734,2.677786079,2.784561028,2.897491202,3.017060807,3.143802916,3.278305525,3.421218491,3.573261521,3.735233387,3.947240323,4.177898303,4.429503403,4.704718517,5.006646032
Oregon,2.2651909,2.299546144,2.34725634,2.396107208,2.446129662,2.497355563,2.572393975,2.650403757,2.731537482,2.815957583,2.903837125,3.018891612,3.140453466,3.269022567,3.405148014,3.549434079,3.702546993,3.865222755,4.038276087,4.222610777,4.463047134,4.724540106,5.009666953,5.321414435,5.663259542
Pennsylvania,2.210179839,2.242194185,2.287169055,2.333184127,2.380266787,2.428445246,2.499774032,2.573890318,2.650936513,2.731064223,2.814434964,2.924075738,3.039877721,3.16231377,3.291903336,3.429218106,3.574888441,3.729610771,3.894156099,4.069379801,4.298582482,4.547823555,4.819558291,5.116632679,5.442360589
Rhode Island,2.822520755,2.864363251,2.922792645,2.982587239,3.043783257,3.106418018,3.197849667,3.292836277,3.391558174,3.494207233,3.600987786,3.740796858,3.888389684,4.044357885,4.209350868,4.38408275,4.56934028,4.765991908,4.974998214,5.197423915,5.487398041,5.802404499,6.145475781,6.52012215,6.930425149
South Carolina,2.168284187,2.199713532,2.243859407,2.289027521,2.335244821,2.382539062,2.452606591,2.525416001,2.601107516,2.679830415,2.761743749,2.869482564,2.983283593,3.103612546,3.230981063,3.365952271,3.50914714,3.661251777,3.823025814,3.995312082,4.220703112,4.465825011,4.733097762,5.025326769,5.345779025
South Dakota,2.158668949,2.190691438,2.235408705,2.281179649,2.328032479,2.375996259,2.446724082,2.520240655,2.596689068,2.676221668,2.759000779,2.867651896,2.982442487,3.10384478,3.232377591,3.368611954,3.513177572,3.666770213,3.830160215,4.004202299,4.231599353,4.478940872,4.748673731,5.04363448,5.367126325
Tennessee,2.076399405,2.106545738,2.148873474,2.192184055,2.236503461,2.281858455,2.349159816,2.419103011,2.491823464,2.567465359,2.646182335,2.749749808,2.859162379,2.974870088,3.09736744,3.22719879,3.364964513,3.511328074,3.667024168,3.832868108,4.049899493,4.285987293,4.543474101,4.825076307,5.133958094
Texas,2.116866796,2.147578186,2.190706657,2.234835322,2.279990589,2.326199655,2.394719276,2.465924794,2.539953746,2.61695256,2.697077258,2.802481851,2.913827162,3.031570134,3.156212818,3.288307836,3.428464634,3.577356648,3.735729556,3.904410791,4.125123885,4.365190433,4.626987112,4.913269516,5.227247105
Utah,2.045453752,2.075167984,2.116883393,2.15956838,2.2032486,2.247950479,2.314320228,2.383298119,2.455017954,2.529622205,2.607262688,2.709425304,2.817359898,2.93151123,3.052368033,3.180468343,3.316405597,3.460835635,3.614484754,3.778158997,3.992374958,4.225420187,4.47961121,4.757634442,5.062619439
Vermont,2.546332421,2.584428519,2.637508207,2.691840067,2.747457623,2.80439542,2.887656237,2.974179971,3.064133028,3.157692517,3.255047081,3.382522029,3.517143254,3.659456512,3.810061057,3.969616082,4.138848073,4.318559248,4.509637244,4.7130663,4.978348927,5.266679613,5.580863524,5.924149494,6.300317146
Virginia,2.118295057,2.14902639,2.192183122,2.236340661,2.281525428,2.327764639,2.396327257,2.467577328,2.541652462,2.618699167,2.69887355,2.804342982,2.915756508,3.033571312,3.158289714,3.290464626,3.430705814,3.579687068,3.738154453,3.906935827,4.127778863,4.367985838,4.62993463,4.916382217,5.230539658
Washington,2.244887131,2.279253762,2.326870981,2.375634584,2.425575823,2.476726913,2.551539123,2.62932384,2.710233943,2.794432199,2.882092033,2.996771595,3.117951079,3.246130211,3.38185794,3.525738391,3.67843766,3.840691618,4.013314876,4.197211129,4.436968155,4.697747966,4.982124909,5.293082476,5.634093983
West Virginia,2.157194041,2.189058319,2.233602306,2.279192609,2.325857165,2.373624755,2.444128492,2.517408526,2.593607232,2.672876193,2.755376921,2.863705901,2.978151954,3.099185514,3.227323425,3.363134552,3.507246208,3.660351521,3.82321791,3.99669686,4.223414708,4.470012433,4.738929047,5.032992016,5.35549401
Wisconsin,2.2444581,2.276951082,2.322604222,2.369312259,2.417102942,2.46600485,2.538365575,2.613551122,2.691705693,2.772982793,2.857545957,2.96874288,3.086182008,3.210342044,3.341748833,3.480981063,3.628676778,3.785540857,3.952353604,4.129980662,4.362301967,4.614913273,4.890298724,5.191337515,5.521381868
Wyoming,1.973760826,2.001648288,2.041080521,2.08141123,2.122663768,2.164862181,2.227995529,2.293593871,2.361783439,2.432698643,2.506482718,2.603859571,2.706725506,2.815503798,2.930659629,3.052705182,3.182205465,3.319784997,3.466135501,3.622024784,3.826448034,4.048851735,4.291452309,4.556820793,4.847953203
