State,0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
New York," $(1,314,457.25)"," $(1,560,238.29)"," $(1,809,869.16)"," $(2,067,201.97)"," $(2,332,381.42)"," $(2,605,554.07)"," $(2,886,868.29)"," $(3,179,466.46)"," $(3,483,538.70)"," $(3,799,276.39)"," $(4,126,872.19)"," $(4,448,289.95)"," $(4,783,361.02)"," $(5,133,961.08)"," $(5,500,307.64)"," $(5,882,617.05)"," $(6,281,104.39)"," $(6,695,983.24)"," $(7,127,465.50)"," $(7,575,761.16)"," $(8,041,078.11)"," $(8,526,712.65)"," $(9,032,854.85)"," $(9,559,686.84)"," $(10,107,382.26)"," $(10,676,105.68)"
North Carolina," $(1,314,457.25)"," $(1,592,810.99)"," $(1,875,231.02)"," $(2,164,389.40)"," $(2,460,406.19)"," $(2,763,402.85)"," $(3,073,502.32)"," $(3,393,195.27)"," $(3,722,637.19)"," $(4,061,984.48)"," $(4,411,394.46)"," $(4,751,628.55)"," $(5,102,899.80)"," $(5,467,147.56)"," $(5,844,546.84)"," $(6,235,271.50)"," $(6,639,494.09)"," $(7,057,385.68)"," $(7,489,115.70)"," $(7,934,851.76)"," $(8,394,759.46)"," $(8,871,434.25)"," $(9,365,023.54)"," $(9,875,667.74)"," $(10,403,499.86)"," $(10,948,645.00)"
North Dakota," $(1,314,457.25)"," $(291,890.36)"," $737,115.89 "," $1,755,915.87 "," $2,764,222.20 "," $3,761,743.97 "," $4,748,186.68 "," $5,712,396.18 "," $6,653,916.77 "," $7,572,289.97 "," $8,467,054.67 "," $9,356,616.04 "," $10,212,177.11 "," $11,031,439.14 "," $11,813,821.37 "," $12,558,746.14 "," $13,265,639.41 "," $13,933,931.28 "," $14,563,056.60 "," $15,152,455.45 "," $15,701,573.81 "," $16,198,360.25 "," $16,642,249.48 "," $17,032,697.31 "," $17,369,182.10 "," $17,651,206.38 "
Ohio," $(1,314,457.25)"," $(1,455,748.76)"," $(1,600,135.38)"," $(1,752,368.91)"," $(1,912,603.73)"," $(2,080,996.07)"," $(2,257,704.10)"," $(2,446,535.61)"," $(2,647,700.52)"," $(2,861,410.05)"," $(3,087,876.74)"," $(3,307,188.39)"," $(3,541,596.71)"," $(3,793,177.56)"," $(4,062,175.96)"," $(4,348,835.52)"," $(4,653,398.25)"," $(4,976,104.32)"," $(5,317,191.82)"," $(5,676,896.56)"," $(6,055,451.75)"," $(6,456,880.87)"," $(6,881,401.46)"," $(7,329,221.85)"," $(7,800,540.53)"," $(8,295,545.47)"
Oklahoma," $(1,314,457.25)"," $(1,515,849.44)"," $(1,720,650.30)"," $(1,931,900.84)"," $(2,149,720.89)"," $(2,374,231.71)"," $(2,605,556.01)"," $(2,846,378.58)"," $(3,096,857.97)"," $(3,357,153.71)"," $(3,627,426.24)"," $(3,889,461.05)"," $(4,162,748.37)"," $(4,449,141.13)"," $(4,748,820.74)"," $(5,061,967.50)"," $(5,388,760.39)"," $(5,729,376.92)"," $(6,083,992.99)"," $(6,452,782.64)"," $(6,835,917.91)"," $(7,236,215.96)"," $(7,653,833.32)"," $(8,088,919.50)"," $(8,541,616.46)"," $(9,012,058.17)"
Oregon," $(1,314,457.25)"," $(1,264,321.13)"," $(1,215,931.40)"," $(1,175,559.55)"," $(1,143,378.24)"," $(1,119,562.32)"," $(1,104,288.84)"," $(1,102,219.39)"," $(1,113,595.96)"," $(1,138,662.22)"," $(1,177,663.42)"," $(1,212,937.20)"," $(1,265,615.79)"," $(1,337,617.85)"," $(1,429,232.83)"," $(1,540,748.82)"," $(1,672,452.33)"," $(1,824,628.02)"," $(1,997,558.48)"," $(2,191,523.90)"," $(2,406,801.84)"," $(2,648,360.07)"," $(2,916,466.11)"," $(3,211,377.40)"," $(3,533,340.53)"," $(3,882,590.49)"
Pennsylvania," $(1,314,457.25)"," $(1,381,371.85)"," $(1,450,270.48)"," $(1,525,847.34)"," $(1,608,237.28)"," $(1,697,576.82)"," $(1,794,004.07)"," $(1,901,161.21)"," $(2,019,236.24)"," $(2,148,418.31)"," $(2,288,897.59)"," $(2,423,653.28)"," $(2,572,118.66)"," $(2,736,081.83)"," $(2,915,764.94)"," $(3,111,388.76)"," $(3,323,172.46)"," $(3,551,333.42)"," $(3,796,086.99)"," $(4,057,646.29)"," $(4,336,221.97)"," $(4,635,674.67)"," $(4,956,202.65)"," $(5,297,995.54)"," $(5,661,233.75)"," $(6,046,087.86)"
Rhode Island," $(1,314,457.25)"," $(1,677,815.20)"," $(2,045,643.78)"," $(2,421,042.09)"," $(2,804,142.88)"," $(3,195,080.55)"," $(3,593,991.16)"," $(4,003,513.16)"," $(4,423,816.26)"," $(4,855,071.30)"," $(5,297,450.15)"," $(5,733,041.58)"," $(6,181,014.57)"," $(6,643,203.63)"," $(7,119,798.24)"," $(7,610,986.77)"," $(8,116,956.26)"," $(8,637,892.27)"," $(9,173,978.71)"," $(9,725,397.61)"," $(10,292,328.99)"," $(10,877,508.74)"," $(11,481,095.28)"," $(12,103,239.68)"," $(12,744,085.11)"," $(13,403,766.31)"
South Carolina," $(1,314,457.25)"," $(1,429,937.04)"," $(1,548,072.15)"," $(1,673,220.14)"," $(1,805,518.32)"," $(1,945,105.66)"," $(2,092,122.76)"," $(2,250,068.77)"," $(2,419,131.84)"," $(2,599,501.22)"," $(2,791,367.24)"," $(2,976,253.73)"," $(3,174,765.99)"," $(3,388,822.19)"," $(3,618,642.26)"," $(3,864,444.75)"," $(4,126,446.62)"," $(4,404,863.03)"," $(4,699,907.14)"," $(5,011,789.88)"," $(5,340,719.72)"," $(5,690,393.72)"," $(6,061,005.82)"," $(6,452,741.39)"," $(6,865,776.65)"," $(7,300,278.05)"
South Dakota," $(1,314,457.25)"," $109,896.57 "," $1,543,644.01 "," $2,964,950.37 "," $4,373,451.34 "," $5,768,778.06 "," $7,150,557.12 "," $8,504,365.96 "," $9,829,622.00 "," $11,125,739.05 "," $12,392,127.44 "," $13,648,320.13 "," $14,860,961.52 "," $16,027,472.25 "," $17,147,105.76 "," $18,219,119.29 "," $19,242,774.51 "," $20,217,338.23 "," $21,142,083.06 "," $22,016,288.16 "," $22,839,240.01 "," $23,595,335.79 "," $24,283,842.91 "," $24,904,055.35 "," $25,455,295.63 "," $25,936,916.78 "
